PostDate,Headline,Preview
Posted at 5:30 14 Sep 2018,Can health services handle the Apple Watch?,Apple's Watch upgrade brings new features that some warn could put strain on health services.
Posted at 10:10 13 Sep 2018,"What happened to Apple's Airpower?
BBC technology correspondent Rory Cellan-Jones tweets:",
Posted at 6:01 13 Sep 2018,Apple raises prices for new phones,
Posted at 23:52 12 Sep 2018,Hands on with the new Apple Watch,"Apple has updated its smartwatch, promising more sophisticated heart-monitoring capabilities."
Posted at 23:23 12 Sep 2018,Hands on with iPhone XS and iPhone XS Max,Do the new iPhones represent much of an upgrade over last year's flagship handset?
Posted at 21:24 12 Sep 2018,Apple unveils iPhone XS and new Watch,Three new iPhone models are revealed plus a fall-detecting smartwatch.
Posted at 20:02 12 Sep 2018,iPhone launch: Apple's event in 90 seconds,A look at the biggest headlines from Apple's event in California.
Posted at 9:47 12 Sep 2018,Apple launch: Bigger! Faster! Pricier! Innovative?,A look at what's expected from Apple at its September launch event.
Posted at 6:48 12 Sep 2018,Phone makers switch production from China,
Posted at 6:31 12 Sep 2018,Apple's phone formula,
Posted at 11:11 11 Sep 2018,Anti-malware apps harvested browser history,"Apple removed the apps, from cyber-security firm Trend Micro, from the Mac app store."
Posted at 6:16 10 Sep 2018,Trump rattles Apple suppliers,
Posted at 21:39 7 Sep 2018,Apple v Amazon: Battle of the titans,"Apple and Amazon have seen their market value top $1tn, but will their growth continue to accelerate?"
Posted at 18:31 7 Sep 2018,The authoritarian states trying to own the future,China and Saudi Arabia are investing billions in hi-tech industry. The BBC's media editor Amol Rajan explains.
Posted at 2:22 1 Sep 2018,Apple self-driving car in minor crash,An autonomous car owned by Apple was rear-ended as it was about to join an expressway in California.
Buffett: Give me an iPhone over a private jet,Buffett: Give me an iPhone over a private jet,
Posted at 17:26 22 Aug 2018,EU to approve Apple's purchase of Shazam,
Posted at 9:41 21 Aug 2018,Apple iPad 'gas leak' in Amsterdam shop,"The Dutch fire brigade is called to help deal with a ""fuming"" Apple device."
Posted at 9:32 20 Aug 2018,Apple 'pulls gambling apps in China',The reported removal of thousands of apps follows criticism by Chinese state media.
Posted at 9:38 19 Aug 2018,Apple halts Russian online sales,Technology giant Apple says it cannot currently sell products online in Russia because the rouble's value is too volatile for it to set prices.
Posted at 12:11 17 Aug 2018,Apple files stored by teen in 'hacky hack hack' folder,
Posted at 9:38 17 Aug 2018,Apple hack teen pleads guilty,An Australian 16-year-old is in court following a series of intrusions into Apple's internal network.
Posted at 12:17 14 Aug 2018,Turkey to boycott US electronic goods,President Erdogan responds after US sanctions put Turkey's weak currency into freefall.
Posted at 10:13 14 Aug 2018,"Turkey to boycott US electronic goods, says Erdogan",
Posted at 15:33 9 Aug 2018,Apple axes 'wrong apps' in gambling purge,A number of developers complain that their apps were removed - despite not being gambling-themed.
Posted at 18:10 6 Aug 2018,Apple chipmaker recovers from malware hit,Taiwan company TSMC says it is now back in full production after being affected at the weekend.
Posted at 12:00 6 Aug 2018,"YouTube, Facebook and iTunes drop InfoWars","Several social networks remove conspiracy theorist Alex Jones' pages, citing hate speech."
Posted at 22:57 3 Aug 2018,The memoir of Steve Jobs' 'secret' daughter,"The book says the Apple founder once told her she would ""get nothing"" and she smelled ""like a toilet""."
Posted at 21:57 3 Aug 2018,Five big things that have made Apple,Apple has become the world's first $1 trillion company. We look at the factors behind its success.
Posted at 17:53 3 Aug 2018,Tech Tent: Who can topple trillion-dollar Apple?,"When it comes to sales, China's Huawei has leapfrogged into second place."
Posted at 13:24 3 Aug 2018,Should tech companies be paying more tax?,Share-based payments for staff is one reason why the tax bill for the online retail giant has fallen.
Posted at 6:40 3 Aug 2018,Apple’s next task: Perfect what's next,
Posted at 4:58 3 Aug 2018,Apple’s challenge: Perfect what's next,The smartphone boom made Apple worth $1tn. It's an era that's coming to an end.
Posted at 21:45 2 Aug 2018,Apple's market value hits $1 trillion,The iPhone maker's value soars following better-than-expected quarterly results this week.
Would you take a bite?,Would you take a bite?,
Posted at 18:18 2 Aug 2018,Why Apple is worth $1 trillion,Apple becomes the world's first $1 trillion company. Which other companies are close?
Posted at 18:14 2 Aug 2018,Why Apple is worth $1 trillion,Apple becomes the world's first $1 trillion company. Which other companies are close?
Posted at 18:06 2 Aug 2018,Why Apple is worth $1 trillion,Apple becomes the world's first $1 trillion company. Which other companies are close?
Posted at 17:53 2 Aug 2018,Cook took Apple higher,
Posted at 16:15 1 Aug 2018,Apple shares hit record on iPhone growth,The tech giant's valuation edges towards $1 trillion after the company's forecast-beating profit figures.
Posted at 8:49 1 Aug 2018,Apple: A history of growth,
Posted at 6:11 1 Aug 2018,A warning from the past,
Posted at 6:03 1 Aug 2018,Apple set to be worth 6% of US GDP,
Posted at 15:16 31 Jul 2018,Is Samsung's Galaxy S9 flagship a flop?,"The technology company says sales of its phone were lower than expected, but has plans to fix the problem."
Posted at 13:05 31 Jul 2018,Can Apple restore the FAANG's bite?,
Posted at 12:21 31 Jul 2018,What's next for the iPhone?,
Posted at 11:57 31 Jul 2018,Looking ahead to Apple's results,
Posted at 6:45 31 Jul 2018,Could Apple be worth $1tn?,
Posted at 6:38 31 Jul 2018,Tech tide turns for Apple?,
Posted at 6:03 31 Jul 2018,"Meanwhile, later in the US...",
Posted at 14:46 18 Jul 2018,State firm hosts Apple's data in China,Privacy advocates have warned that storing iCloud data on Chinese servers will make emails and messages vulnerable.
Posted at 13:26 18 Jul 2018,The Dane targeting multinationals,"Denmark's EU Competition Commissioner, Margrethe Vestager, who is battling multinationals over tax."
Posted at 11:27 17 Jul 2018,Bald and ginger among Apple's new emojis,"If you're bald, ginger, grey-haired - or love lobster - these are the ones you've been waiting for."
Posted at 6:09 17 Jul 2018,Are tech stocks overvalued?,
Posted at 6:56 13 Jul 2018,Apple to launch China clean energy fund,
Posted at 11:27 11 Jul 2018,Apple employee 'stole car secrets',"An engineer is accused of stealing databases and hardware, and trying to flee to China."
Posted at 0:23 6 Jul 2018,Social site terms tougher than Dickens,Children may be signing up to apps with terms and conditions only university students can understand.
Posted at 0:17 6 Jul 2018,What tech giants really do with your data,"Nine surprising realities about what the likes of Facebook, Tindr and Twitter do with our details."
Posted at 21:18 29 Jun 2018,Apple's grand plan to fix iPhone Maps app,Apple will gather its own mapping data in an effort to improve the much-criticised Apple Maps.
Posted at 0:51 29 Jun 2018,Sports Direct pips Apple in global list,"A new survey ranks Sports Direct above the US tech titan as a firm ""trailblazing in global commerce""."
Posted at 22:09 27 Jun 2018,Apple and Samsung end seven-year fight,The two firms have reached a final settlement in a patent dispute that has been in court since 2011.
Posted at 20:52 27 Jun 2018,Apple Samsung truce,
Posted at 1:31 25 Jun 2018,Major shake-up in the singles chart,Music played on YouTube will finally be included in the Top 40. Here's what that means.
Posted at 6:43 14 Jun 2018,Apple to close iPhone security loophole,"The move will make it more difficult for hackers, and police, to unlock handsets without authorisation."
Posted at 17:20 13 Jun 2018,Facebook to introduce advert rules,The social media giant will introduce policies to reveal to users how companies employ data to target them.
Posted at 10:44 8 Jun 2018,Apple 'cutting orders for iPhone parts',
Posted at 21:35 6 Jun 2018,Sonos makes Siri be friends with Alexa,"To set itself apart, Sonos aims to be open to voice assistants from Apple, Amazon and Google."
Posted at 20:08 4 Jun 2018,Nasdaq closes at record high,
Posted at 19:53 4 Jun 2018,Apple jams Facebook's web-tracking tools,The next versions of the iOS and the Mac operating systems will block the social network's trackers.
Posted at 19:53 4 Jun 2018,Apple boosts Safari privacy tools,Apple will attempt to frustrate tools deployed by Facebook to automatically track web users.
Posted at 12:40 4 Jun 2018,Driver fined for Apple Watch use at lights,The student was convicted after being distracted using the smartwatch while driving
Posted at 21:46 31 May 2018,Scooter protest halts Silicon Valley buses,Activists say the city is more concerned with removing the homeless than regulating a new tech fad.
Posted at 21:25 31 May 2018,San Francisco protest blocks Google buses,Buses carrying Google employees were blocked by angry San Francisco residents on Thursday.
Posted at 19:24 30 May 2018,Apple and Russia in Telegram face off,
Posted at 17:32 30 May 2018,Apple and Russia in App Store stand-off,Russian regulators have given the company one month to remove the messaging app from its App Store.
Posted at 5:30 29 May 2018,Apple screen swap hits Japan Display,
Posted at 4:59 25 May 2018,Apple wins $539m in patent case,Samsung has been ordered to pay Apple damages in a long-running dispute between the tech firms.
Posted at 12:22 23 May 2018,FBI admits miscounting locked-out phones,The use of numerous databases resulted in individual iPhones being erroneously counted multiple times.
Posted at 14:22 21 May 2018,Apple 'sweat-proof' headphones in court,A group claims that the headphones' battery life is not as strong as advertised.
Posted at 11:07 21 May 2018,Children's data exposed on cloud server,Email addresses and unique phone identifiers were found on servers that let anyone view data
Posted at 16:51 14 May 2018,Apple-Samsung patent battle revived in California court,
Posted at 14:38 14 May 2018,Apple and Samsung face Groundhog Day fight,The jury is being asked to reconsider what Apple's iPhone design patents were worth.
Posted at 18:15 10 May 2018,Apple and Goldman Sachs plot credit card,
Posted at 14:59 10 May 2018,Apple scraps Galway data centre plans,A court battle with conservationists shelves plans to build 850 million euro data centre in Galway.
Posted at 21:31 4 May 2018,Apple hits high after Buffett ups stake,Legendary investor Warren Buffett raises his stake in the world's most valuable company to 5%.
Posted at 16:19 4 May 2018,Buffett buys more Apple,
Posted at 7:54 2 May 2018,The numbers at Apple's core,
Posted at 0:32 2 May 2018,Apple faces battery pledge complaints,Apple is accused of finding unnecessary faults with iPhones submitted for battery replacements.
Posted at 0:20 2 May 2018,Apple showers investors with $100bn,The world's most valuable company increases its share buyback as revenues rise on solid iPhone sales.
Posted at 20:26 25 Apr 2018,Apple chief meets Trump,
Posted at 18:33 23 Apr 2018,Apple's Shazam deal faces European probe,Seven countries asked the European Commission to review the purchase of the music identification app.
Apple Music hits the top 40 (million),Apple Music hits the top 40 (million),
Posted at 13:10 4 Apr 2018,Apple hires Google's head of search,"John Giannandrea will report directly to CEO Tim Cook, according to reports."
Two sides of the Apple story,Two sides of the Apple story,
Posted at 14:11 3 Apr 2018,Apple Watch provides murder case clues,Motion and heart rate data from a smartwatch has been presented in court as part of a murder trial.
Posted at 7:18 3 Apr 2018,Spotify faces Amazon/Apple/Google challenge,
Posted at 6:38 3 Apr 2018,Apple may take bite out of microchip market,
Posted at 18:59 2 Apr 2018,Facebook chief fires back at Apple boss,"Mark Zuckerberg says it is ""extremely glib"" to suggest Facebook does not care about its users."
Posted at 19:00 29 Mar 2018,iPhone update adds privacy 'transparency',"Apple has updated iOS, MacOS and tvOS to let people know when their personal data will be collected."
Posted at 0:13 25 Mar 2018,'Streaming services are too similar',Apple Music executive Jimmy Iovine says streaming services need to diversify to survive.
Posted at 11:35 24 Mar 2018,Disability emojis proposed by Apple,"The company says very few of the current emojis ""speak to the life experiences of those with disabilities""."
Posted at 17:19 15 Mar 2018,Apple responds to 'abusive business practices' claim,
Posted at 17:02 15 Mar 2018,Apple and Google in trouble in France,
Posted at 13:55 13 Mar 2018,Apple-approved app mined crypto-coins,A popular Calendar program on Apple's app store has used crypto-coin mining code to generate cash.
Posted at 18:55 12 Mar 2018,Apple acquires magazine app Texture,Apple is buying an app that gives readers unlimited access to 200 magazines for a monthly fee.
Posted at 15:42 1 Mar 2018,How Spotify came to be worth billions,"As the company says its value could be more than £16.7bn, we take a look at its rise to the top."
Posted at 0:02 27 Feb 2018,How bands are escaping the music industry snake pit,"Technology is helping musicians, bands and artists get a bigger share of the revenues from their work."
Posted at 13:29 26 Feb 2018,Apple loses legal row over tax protests,"No reason to ban peaceful protests by tax campaign group Attac, a French court rules."
Posted at 12:04 20 Feb 2018,Apple pushes fix to latest text bomb bug,Messages containing a letter from India's Telugu language caused devices to crash.
Posted at 21:10 14 Feb 2018,Apple's HomePod speakers can mark wood,The tech firm has said owners may have to re-oil surfaces if the ring marks do not fade.
Posted at 13:26 9 Feb 2018,Apple confirms secret iPhone code leak,Some of the secret code used in Apple's iOS 9 mobile operating system is leaked online.
Posted at 11:13 6 Feb 2018,Child abuse behind Apple's Telegram ban,"Users who posted ""this horrible content"" have been banned, said Apple's app store boss."
Posted at 6:49 2 Feb 2018,Which tech giant will impact us most?,
Posted at 4:15 2 Feb 2018,Apple sells fewer phones but profits rise,The price of the iPhone X compensates for a dip in handset sales during the last three months of 2017.
Posted at 15:56 1 Feb 2018,Apple removes Telegram from app store,"Inappropriate content available via the app was the reason it was removed, Telegram says."
Posted at 7:54 1 Feb 2018,"Apple, Amazon, Alphabet: The race to a trillion dollars","The tech giants are on track to become worth more than $1tn, but which will be the first?"
Posted at 5:54 1 Feb 2018,The race to one trillion dollars,"Many analysts predict that at some point this year, at least one US tech firm will become America's first trillion dollar company. Dave Lee looks at the contenders."
Posted at 3:44 1 Feb 2018,The race to one trillion dollars,"Many analysts predict that at some point this year, at least one US tech firm will become America's first trillion dollar company. Dave Lee looks at the contenders."
Posted at 16:55 26 Jan 2018,Can Trump claim credit for bonus rush?,"It is bonus season in America - and this year, more workers than usual have been getting checks."
Posted at 13:36 26 Jan 2018,iPhone battery 'slowdown' to be optional,Customers will be able to switch off a feature that deliberately slows down some older handsets.
Posted at 10:44 26 Jan 2018,China's smartphone market in decline,The fall ends eight years' growth in the world's largest mobile phone market.
Posted at 13:36 24 Jan 2018,EU fines chipmaker Qualcomm £870m,"The world's biggest mobile phone chipmaker was found to have 'illegally shut out rivals""."
Posted at 14:34 22 Jan 2018,HQ Trivia app launches in the UK,"The live quiz app is popular in the US, but analysts have questions about its business model."
Posted at 13:28 22 Jan 2018,Apple chief keeps nephew off social media,Tim Cook criticises social media as providers face demands for tougher regulation.
Posted at 14:22 19 Jan 2018,South Korean group makes Apple complaint,A South Korean consumer group has filed a complaint against Apple over iPhone slowdown.
Posted at 17:52 18 Jan 2018,Apple buses attacked in Silicon Valley,Buses carrying Apple and Google employees to work have been targeted while en route.
Posted at 4:17 18 Jan 2018,'Text bomb' is latest Apple bug,Security expert says bug affecting Apple's iPhone and Mac computers is 'nasty' and a nuisance.
Posted at 19:31 17 Jan 2018,Apple to pay $38bn on foreign cash pile,The payment is expected to be the largest of its type following US tax code changes.
Apple's $38bn tax bill,Apple's $38bn tax bill,
Posted at 12:57 12 Jan 2018,Apple health data used in murder trial,Data suggesting movements correlating to how a suspect disposed of a body used as evidence.
Posted at 11:10 11 Jan 2018,US man charged over 15-year spy campaign,The attacked allegedly spied on users via webcams and stole personal data and login information.
Posted at 19:38 10 Jan 2018,Apple pays extra £136m in tax to HMRC,A UK subsidiary of US tech giant is ordered to make the payment following an 'extensive audit'.
Posted at 12:37 10 Jan 2018,China firm to run Apple iCloud accounts,A company linked to the Chinese government will operate the service in China from 28 February.
Posted at 22:48 8 Jan 2018,France investigates iPhone slowdown,"Prosecutors will look into claims of ""planned obsolescence"" in iPhones, which is illegal in France."
Posted at 14:34 8 Jan 2018,Apple urged to tackle device 'addiction',Two major investors urge Apple to address the growing issue of smartphone addiction in children.
Posted at 16:31 5 Jan 2018,Warning as woman loses £3k in iTunes con,A 77-year-old Eastbourne woman says she feels 'stupid and ashamed' for falling a growing cold calling con.
Posted at 8:43 5 Jan 2018,iTunes vouchers used by fraudsters in latest scam,
Posted at 4:05 5 Jan 2018,Apple: Chip flaw in all Macs and iPhones,"The tech giant has released some fixes and says there are ""no known exploits"" of the flaws."
Posted at 8:55 29 Dec 2017,Apple apologises for iPhone slowdowns,It says it will slash the price of battery replacements and issue new monitoring software.
Posted at 17:25 28 Dec 2017,Apple orders boss to fly by private jet,"Tim Cook is required to fly on private aircraft for ""security and efficiency""."
Posted at 14:02 28 Dec 2017,Two arrested over Apple store raid,
Posted at 11:25 28 Dec 2017,Source code for Apple 'flop' to be revealed,"Next year, Apple fans will be able to tinker with the source code for the firm's Lisa computer."
Posted at 6:52 28 Dec 2017,Tech 2017: The year's biggest stories,"Apple, ransomware and Bitcoin all feature prominently in BBC Tech's most read stories of the year."
Posted at 7:49 26 Dec 2017,How the smartphone became so smart,Tim Harford tells the surprising story of how the iPhone became a truly revolutionary technology.
Posted at 12:29 22 Dec 2017,Apple faces lawsuits over slowed iPhones,Two lawsuits been brought on behalf of users of older iPhones in the US.
Posted at 0:05 22 Dec 2017,Apple changes rules on app 'loot boxes',"Customers will now have to be told how likely they are to get certain in-game items, says Apple."
Posted at 13:36 21 Dec 2017,BBC Minute: On slow iPhones,It isn't an urban myth after all - Apple is slowing down older iPhones
Posted at 9:14 21 Dec 2017,Apple admits slowing down older iPhones,"Customers have long suspected iPhones slow down over time. Now, Apple has confirmed some models do."
Posted at 14:37 20 Dec 2017,HMRC warns on iTunes gift card scam,Hundreds of people over 65 have been ripped off by fraudsters who tell them to buy gift vouchers.
Posted at 11:49 15 Dec 2017,Amazon backs down in Google spat,"The online retailer puts streaming gadgets from Google back on sale, ending a two-year hiatus."
Posted at 11:12 13 Dec 2017,Frank Ocean has a new radio station in GTA,"In the GTA Online's latest update, Frank brings his Beats 1 Blonded radio show to Los Santos."
Posted at 17:09 11 Dec 2017,Why is Apple buying Shazam?,Rivalry against Spotify and augmented reality ambitions are two possible reasons for the takeover.
Posted at 10:07 10 Dec 2017,Apple 'to buy Shazam for $400m',The music recognition app already makes most of its money by referring music buyers to Apple's iTunes.
Posted at 13:18 8 Dec 2017,Apple flaw left smart locks vulnerable,The company has fixed a flaw in its HomeKit that let unauthorised people control smart home gadgets.
Posted at 13:58 7 Dec 2017,Now albums dominated iTunes in 2017,The long-running compilation series produced four of the biggest-selling albums of the year.
Posted at 13:55 5 Dec 2017,Ireland forced to collect €13bn Apple tax,"The money is being paid into a blocked account, while Ireland is appealing against the decision."
Posted at 12:17 4 Dec 2017,Apple Mac security issue may reoccur,Mac owners who upgraded to remove a serious security bug may still be vulnerable to the loophole.
Posted at 17:06 1 Dec 2017,Tech Tent: Apple's security under scrutiny,Will Apple's gold-plated reputation with consumers be dented by an embarrassing security foul-up?
Posted at 10:28 30 Nov 2017,Google case could mean payout for millions,Search giant is accused of unlawfully harvesting the personal information of millions of UK iPhone users.
Posted at 18:59 29 Nov 2017,Apple apologises and fixes security flaw,"Apple has said its customers ""deserve better"" as it pushes out an emergency update to its Mac operating system."
Posted at 17:12 29 Nov 2017,Is Apple getting sloppy?,A security bug in the new Mac operating system has raised concerns that the firm's standards are slipping.
Posted at 10:51 29 Nov 2017,Apple pulls Duterte execution games,Games which involve killing criminals as the Philippine president have vanished from Apple's store.
Posted at 1:02 29 Nov 2017,Apple rushes to fix major password bug,A remarkably simple flaw in Apple's Mac operating system has been discovered.
Posted at 14:16 20 Nov 2017,Captain Crunch accused of sex misconduct,"A lauded hacker, known as Captain Crunch, is accused of unwanted sexual contact with teenagers."
Posted at 17:19 17 Nov 2017,Apple delays launch of smart speaker,"The HomePod will now be released in early 2018 as the gadget still needs work, said Apple."
Posted at 0:20 17 Nov 2017,Baidu's smart speaker and other news,BBC Click's Nick Kwek looks at some of the best of the week's technology news stories.
Posted at 23:36 14 Nov 2017,Face ID iPhone X 'hack' demoed live,A Vietnamese cyber-security firm shows the BBC how a mask can be used to unlock Apple's new phone.
Posted at 17:05 13 Nov 2017,Moped raiders target Apple store,Ten suspects on five mopeds smashed their way into the central London store in the early hours.
Posted at 16:55 13 Nov 2017,Moped gang raids London Apple store,
Posted at 14:57 10 Nov 2017,Apple fixes iPhone letter 'i' bug,"The latest software update fixes an issue that stopped some iPhone users typing the letter ""i""."
Posted at 8:54 10 Nov 2017,Apple takes on the streaming world,"For weeks there have been rumours, guesses and plenty of speculation about whether Apple will be announcing its much anticipated streaming site."
Posted at 16:23 9 Nov 2017,FBI seeks to unlock Texas killer's iPhone,Apple has offered its help in getting at any data held on the iPhone of Devin Kelley.
Posted at 8:02 8 Nov 2017,No report of Apple funds in Jersey says regulator,
Posted at 17:52 7 Nov 2017,Apple 'did not hold money in Jersey' says regulator,
Posted at 17:47 7 Nov 2017,Firms should show 'meaningful economic value',
Posted at 17:44 7 Nov 2017,'Reputation matters a lot' - Jersey tax expert,
Posted at 17:37 7 Nov 2017,Jersey could change rules for companies following Apple investigation,
Posted at 17:32 7 Nov 2017,Opposition politician says 'time to take stock' on tax law,
Posted at 12:26 7 Nov 2017,Jersey 'doesn't want abusive tax avoidance' says chief minister,
Posted at 22:49 6 Nov 2017,Apple's secret tax bolthole revealed,"The US multinational has used a Channel Island to protect its low tax regime, the Paradise Papers show."
Posted at 12:49 6 Nov 2017,iPhone users fume over letter 'i' bug,"An update to the smartphone's operating system means the letter ""i"" is auto-corrected in error."
Posted at 15:28 3 Nov 2017,iPhone X: Why did people queue up overnight?,
Posted at 14:04 3 Nov 2017,Apple shares surge as iPhone X launches,The tech firm also predicts a strong holiday season as the high-end iPhone X hits shelves.
Posted at 13:16 3 Nov 2017,iPhone X launch sees overnight queues,Apple fans lined up in the middle of the night - with no portaloos - for the new iPhone.
Posted at 23:12 1 Nov 2017,Wales flag emoji arrives on iPhone,"The Welsh flag has finally been added to the Apple emoji keyboard, more than a year after a proposal."
Posted at 12:49 30 Oct 2017,Google 'drops everything' to fix burger emoji,Google's big cheese Sundar Pichai joked the company will 'drop everything' to fix their burger emoji
Posted at 11:11 30 Oct 2017,Apple engineer 'fired' over iPhone X leak,The man was sacked after his daughter posted footage of the iPhone X before it was launched.
Posted at 15:19 27 Oct 2017,Three criticised for £117 iPhone X deal,The mobile phone operator said the two-year contract was for those not wishing to pay an upfront charge.
Posted at 17:52 25 Oct 2017,Jay Hunt joins US tech giant,"The senior executive with experience of Channel 5, Channel 4 and BBC is to oversee Apple's European video operation"
Posted at 16:54 25 Oct 2017,Apple hires ex-BBC One controller,Jay Hunt is expected to help the US tech firm take on digital rivals Netflix and Amazon.
Posted at 9:38 25 Oct 2017,Teenage pigeon fancier's winning app,"Jack Delaney, 14, who designed an app to help pigeon racers, wins a prestigious scholarship from Apple."
Posted at 17:06 13 Oct 2017,Tech Tent: VR versus AR,Tech Tent debates whether the future will be virtual or augmented
Posted at 0:03 12 Oct 2017,Apple CEO: Dead heroes better than living,Apple's chief executive advises young leaders to look to the dead among other business tips.
Posted at 23:03 11 Oct 2017,Tim Cook prefers augmented reality to VR,"Apple's chief executive suggested virtual reality could isolate users and was less ""profound""."
Posted at 23:02 11 Oct 2017,Apple chief prefers augmented reality,"Apple's chief says mixing graphics with real-world views is more ""profound"" than virtual reality."
Posted at 18:59 11 Oct 2017,Apple boss opens university hub,"The Oxford Foundry was developed by the Saїd Business School with the aim of ""inspiring and supporting Oxford's 23,000 students""."
Posted at 12:19 11 Oct 2017,'Google buys Apple' story was 'error',The Dow Jones newswire accidentally published the story during a test.
Posted at 11:07 9 Oct 2017,Apple checks iPhone 8 Plus battery issue,The reports about handsets with swollen batteries that stopped working have come from six owners.
Posted at 13:59 2 Oct 2017,US asks Google for data on 'more users',Apple also reports a 62% jump in the number of accounts requested.
Posted at 9:36 2 Oct 2017,SandpiperCI aquires iQ Apple reseller,
Posted at 15:09 29 Sep 2017,Apple Macs at risk from boot bug,"Out-of-date software that helps computers start could aid ""sophisticated"" attacks, warns security firm."
Posted at 17:37 27 Sep 2017,IPhone X uses 'black box' anti-spoof tech,Even Apple will be unable to explain how its anti-spoof facial recognition technology works.
Posted at 0:21 27 Sep 2017,Are these the best job perks in the world?,Impressed that your company offers dress-down Fridays? These firms take job perks to another level.
Posted at 23:42 22 Sep 2017,The long wait for a Persian iPhone keyboard,The new Apple iOS has a Persian keyboard. BBC Persian's Sam Farzaneh discusses why it is an important feature.
Posted at 2:59 21 Sep 2017,Toshiba sells chip unit for $18bn,The embattled electronics firm hopes the deal will cover heavy losses from its nuclear division.
Posted at 13:28 19 Sep 2017,Apple's iOS 11 upgrade kills off old apps,Apple's latest mobile operating system will not launch several ageing educational apps and games.
Posted at 17:08 15 Sep 2017,Tech Tent: Kaspersky and the Kremlin,"Kaspersky's troubles, iPhone launches and natural disasters are discussed on this week's Tech Tent."
Posted at 11:09 14 Sep 2017,Apple explains Face ID on-stage failure,The company says a lockout feature was accidentally triggered by its staff.
Posted at 15:49 13 Sep 2017,Emma Blackery's iPhone launch surprise,"Emma Blackery, an unsigned musician and YouTuber, gets the best promo ever during the Apple event."
Posted at 11:11 13 Sep 2017,The web of suppliers behind the iPhone X,The fortunes of many companies are tied to Apple's iPhone through its complex global supply-chain.
Posted at 10:39 13 Sep 2017,Embarrassing fail in Apple's iPhone demo,A top Apple executive couldn't get a key feature of the new iPhone to work at the launch.
Posted at 1:39 13 Sep 2017,Apple iPhone X: The internet reacts,"The decision to launch a high-end, high-priced phone with facial recognition sparks strong feelings."
Posted at 1:34 13 Sep 2017,Hands on with the new iPhone 8 Plus,Apple's newly-announced smart phone includes a smart portrait mode and will retail for $799 and $949. The BBC's Dave Lee tests it out at Apple's new headquarters.
Posted at 1:19 13 Sep 2017,Hands on with the new iPhone 8 Plus,Apple's newly-announced smart phone includes a smart portrait mode and will retail for $799 and $949. The BBC's Dave Lee tests it out at Apple's new headquarters.
Posted at 22:12 12 Sep 2017,Apple’s augmented reality ambitions,Apple has big plans for augmented reality but faces strong competition from Google and Microsoft.
Posted at 21:57 12 Sep 2017,Apple reveals 'leap forward' iPhone X,The new handset has an edge-to-edge screen and uses facial recognition to check owners' IDs.
Posted at 21:57 12 Sep 2017,Hands on with new iPhone X,Apple has announced a new iPhone that will cost $999. Is it worth the money? The BBC's Dave Lee got hands on with the much anticipated device.
Posted at 21:13 12 Sep 2017,Who are the band on the iPhone X advert?,Art-pop band Sofi Tukker feature on the advert for the new iPhone X - but who are they?
Posted at 21:08 12 Sep 2017,The iPhone X launch in two minutes,Apple's latest handsets and other new gear including a revamped smartwatch and TV box revealed.
Posted at 12:51 12 Sep 2017,What will augmented reality do on iPhone?,"Navigation, gaming and shopping could all be transformed by augmented reality on the next iPhones."
Posted at 9:08 12 Sep 2017,iPhone X: 10 leaps forward to new phone,A look back at some of the key moments along the way to the 10th anniversary iPhone.
Posted at 6:15 12 Sep 2017,Asian smartphone makers jostle for attention,
Posted at 14:24 11 Sep 2017,BBC Minute: On the iPhone X leak,Apple is cracking down after product secrets were revealed.
Posted at 18:26 10 Sep 2017,Apple suffers 'major iPhone X leak',"The operating system of unreleased iPhones is leaked to two websites, revealing secret details."
Posted at 15:18 7 Sep 2017,'Dolphin' attacks fool voice assistants,"Smart assistants by Amazon, Apple and Google respond to ultrasonic commands that humans cannot hear."
Posted at 9:03 5 Sep 2017,Apple Music festival cancelled,"The annual event, which brought names like Lady Gaga and Britney Spears to London, is no more."
Posted at 12:07 4 Sep 2017,Tinder tops App Store with new feature,New feature Tinder Gold lets users see who has liked them even if they haven't matched.
Posted at 16:07 30 Aug 2017,Apple and Google face mixed reality war,The two tech firms show off rival mixed-reality technologies ahead of their imminent release.
Posted at 14:14 21 Aug 2017,Apple's 'hidden' job ad found online,"The advertisement for ""a talented engineer"" begins with the welcome: ""Hey there! You found us."""
Posted at 8:04 17 Aug 2017,Apple boss joins Trump condemnation,Tim Cook slams the President's response to Charlottesville as Apple plans human rights donations.
Posted at 14:45 10 Aug 2017,China's VPN developers face crackdown,Developers of apps which help users avoid internet censorship are coming under increasing pressure.
Posted at 23:25 4 Aug 2017,Apple 'working on non-iPhone Apple Watch',The new wearable will connected directly to mobile networks and is expected later this year.
Posted at 16:54 3 Aug 2017,Apple sales boosted by apps and music,The tech giant's sales and profits were also driven higher by a growth in services like Apple Pay.
Posted at 21:39 2 Aug 2017,"Dow closes above 22,000 for first time",Apple shares climbed almost 5% after the firm reported strong earnings.
Posted at 6:12 2 Aug 2017,Why is Apple struggling in China?,"Revenues from China slipped 10% to slightly more than $8bn, as smartphone sales struggled."
Posted at 1:24 2 Aug 2017,Apple defends complying with China,Chief executive Tim Cook says Apple had to follow the law and remove VPNs from its China App Store.
Posted at 8:28 31 Jul 2017,Apple 'pulls 60 VPNs from China App Store',VPN providers say US tech giant has 'sided with censorship' by pulling their products.
